"year","y","mu_var","sig_var"
1962,-0.421448647975922,-0.0284195471554995,-0.0284195471554995
1963,-0.329701721668243,-0.124707053601742,-0.124707053601742
1964,-0.420194625854492,-0.263422834873199,-0.263422834873199
1965,-0.428677916526794,-0.238056452199817,-0.238056452199817
1966,0.0505675226449966,-0.0275241196155548,-0.0275241196155548
1967,-0.0118522448465228,-0.125994423776865,-0.125994423776865
1968,0.0401160269975662,0.00264172600582242,0.00264172600582242
1969,-0.115721181035042,-0.13868078738451,-0.13868078738451
1970,-0.611580014228821,-0.135401420108974,-0.135401420108974
1971,0.913355886936188,-0.071887844055891,-0.071887844055891
1972,-0.0638248771429062,0.00328063126653433,0.00328063126653433
1973,0.00825779978185892,-0.0693406220525503,-0.0693406220525503
1974,0.451568424701691,-0.0673493420705199,-0.0673493420705199
1975,-0.322660505771637,-0.0645794756710529,-0.0645794756710529
1976,-0.800078511238098,-0.0794585846364498,-0.0794585846364498
1977,0.0829941257834435,0.0388461830094457,0.0388461830094457
1978,-0.143953949213028,0.0376619517803192,0.0376619517803192
1979,0.510565459728241,0.034052762016654,0.034052762016654
1980,-0.0474248267710209,0.0787490723654628,0.0787490723654628
1981,0.0211917106062174,0.162758131511509,0.162758131511509
1982,0.212616249918938,0.0911938766483218,0.0911938766483218
1983,-0.651211738586426,-0.13205374032259,-0.13205374032259
1984,0.296870321035385,0.011098163574934,0.011098163574934
1985,-0.887779533863068,0.152975256741047,0.152975256741047
1986,0.519788146018982,0.130905041471124,0.130905041471124
1987,0.220661357045174,0.104505425877869,0.104505425877869
1988,-0.429692447185516,0.229949775338173,0.229949775338173
1989,0.305014818906784,0.182648977637291,0.182648977637291
1990,-0.160001888871193,0.298530721664429,0.298530721664429
1991,0.170656681060791,0.285112643241882,0.285112643241882
1992,-0.661056160926819,-0.0793206598609686,-0.0793206598609686
1993,-0.288408249616623,0.078161746263504,0.078161746263504
1994,0.618825197219849,0.283664837479591,0.283664837479591
1995,-0.228740930557251,0.242988413572311,0.242988413572311
1996,0.881398975849152,0.282309786975384,0.282309786975384
1997,0.397261202335358,0.333566001057625,0.333566001057625
1998,-0.483089953660965,0.409459719061852,0.409459719061852
1999,0.542847216129303,0.364072078466415,0.364072078466415
2000,0.684909164905548,0.493068486452103,0.493068486452103
2001,0.0396441221237183,0.497352945804596,0.497352945804596
2002,0.270531326532364,0.513483208417892,0.513483208417892
2003,1.10619473457336,0.674168729782105,0.674168729782105
2004,0.052666287869215,0.65817654132843,0.65817654132843
2005,1.12703156471252,0.597818839550018,0.597818839550018
2006,1.47682571411133,0.605921971797943,0.605921971797943
2007,0.758118450641632,0.571249842643738,0.571249842643738
2008,0.268253415822983,0.579456031322479,0.579456031322479
2009,0.969618856906891,0.6358766913414,0.6358766913414
2010,0.811874628067017,0.653016835451126,0.653016835451126
2011,1.47118699550629,0.682022416591644,0.682022416591644
2012,1.02264750003815,0.645555508136749,0.645555508136749
2013,0.393259912729263,0.606919348239899,0.606919348239899
2014,1.13468778133392,0.690871495008469,0.690871495008469
2015,0.895033955574036,0.729148900508881,0.729148900508881
2016,0.546726822853088,0.725430607795715,0.725430607795715
2017,0.690062940120697,0.753894138336182,0.753894138336182
2018,0.268438130617142,0.743541693687439,0.743541693687439
2019,1.00369966030121,0.806903195381165,0.806903195381165
2020,1.68624711036682,0.846570253372192,0.846570253372192
2021,0.741846919059753,0.865191733837128,0.865191733837128
2022,1.20355772972107,0.912099087238312,0.912099087238312
2023,0.434631943702698,0.853783321380615,0.853783321380615
2024,1.69073152542114,0.916054046154022,0.916054046154022
2025,1.22109830379486,0.932758331298828,0.932758331298828
2026,1.91681742668152,0.930547988414764,0.930547988414764
2027,1.32656538486481,1.02794442176819,1.02794442176819
2028,1.76586174964905,0.991374266147613,0.991374266147613
2029,1.601518034935,1.15319945812225,1.15319945812225
2030,1.21857047080994,1.10501158237457,1.10501158237457
2031,1.25040316581726,1.11834669113159,1.11834669113159
2032,1.61933696269989,1.19096558094025,1.19096558094025
2033,1.85251867771149,1.21498353481293,1.21498353481293
2034,1.1967533826828,1.14055624008179,1.14055624008179
2035,1.70871961116791,1.23355355262756,1.23355355262756
2036,1.74633395671844,1.23509783744812,1.23509783744812
2037,1.70806109905243,1.34167892932892,1.34167892932892
2038,1.46885704994202,1.35715265274048,1.35715265274048
2039,1.80000674724579,1.38191251754761,1.38191251754761
2040,1.89504766464233,1.50634169578552,1.50634169578552
2041,1.37740695476532,1.53885042667389,1.53885042667389
2042,1.45451164245605,1.50676534175873,1.50676534175873
2043,1.91352355480194,1.50622568130493,1.50622568130493
2044,2.09468269348145,1.61489169597626,1.61489169597626
2045,1.37358593940735,1.62311165332794,1.62311165332794
2046,2.25675892829895,1.6312427520752,1.6312427520752
2047,1.58843111991882,1.68821158409119,1.68821158409119
2048,1.44191992282867,1.77605347633362,1.77605347633362
2049,2.07756567001343,1.78662955760956,1.78662955760956
2050,2.65966939926147,1.7979353427887,1.7979353427887
2051,3.45704460144043,1.83949589729309,1.83949589729309
2052,2.01402688026428,1.84872732162476,1.84872732162476
2053,2.59118270874023,1.9625278711319,1.9625278711319
2054,2.81816053390503,2.00978193283081,2.00978193283081
2055,2.46387887001038,2.01565852165222,2.01565852165222
2056,2.86412596702576,2.06354243755341,2.06354243755341
2057,2.03300094604492,2.09418835639954,2.09418835639954
2058,1.88236081600189,2.14238996505737,2.14238996505737
2059,2.3090398311615,2.13930187225342,2.13930187225342
2060,3.12083125114441,2.11194367408752,2.11194367408752
2061,2.1791296005249,2.23015704154968,2.23015704154968
2062,3.10075664520264,2.28777461051941,2.28777461051941
2063,2.11285448074341,2.35285811424255,2.35285811424255
2064,3.02692222595215,2.41648206710815,2.41648206710815
2065,4.43672132492065,2.4652195930481,2.4652195930481
2066,2.65065050125122,2.454518699646,2.454518699646
2067,2.65049839019775,2.5532154083252,2.5532154083252
2068,2.52150917053223,2.56202464103699,2.56202464103699
2069,3.78233218193054,2.63073563575745,2.63073563575745
2070,3.81903004646301,2.66829214096069,2.66829214096069
2071,3.43848133087158,2.64198956489563,2.64198956489563
2072,3.14939212799072,2.78196864128113,2.78196864128113
2073,2.61632895469666,2.73071260452271,2.73071260452271
2074,3.43971943855286,2.81140723228455,2.81140723228455
2075,4.62849473953247,2.91108922958374,2.91108922958374
2076,3.36772918701172,2.88387117385864,2.88387117385864
2077,3.66368246078491,3.02880883216858,3.02880883216858
2078,4.31037664413452,3.08179378509521,3.08179378509521
2079,4.17236614227295,3.08287696838379,3.08287696838379
2080,3.77977561950684,3.09063997268677,3.09063997268677
2081,4.30603885650635,3.17323603630066,3.17323603630066
2082,4.01545715332031,3.19956216812134,3.19956216812134
2083,4.12664175033569,3.25072107315063,3.25072107315063
2084,4.12296962738037,3.32551002502441,3.32551002502441
2085,4.1961989402771,3.25590596199036,3.25590596199036
2086,3.99941349029541,3.43262891769409,3.43262891769409
2087,4.22269773483276,3.52747240066528,3.52747240066528
2088,4.57007837295532,3.47721619606018,3.47721619606018
2089,4.84301948547363,3.51471285820007,3.51471285820007
2090,4.43609476089478,3.58757247924805,3.58757247924805
2091,5.03772354125977,3.66355895996094,3.66355895996094
2092,5.4998140335083,3.70688691139221,3.70688691139221
2093,4.84976768493652,3.80754423141479,3.80754423141479
2094,4.7879204750061,3.79684858322144,3.79684858322144
2095,4.63367509841919,3.8248450756073,3.8248450756073
2096,4.62310314178467,3.85585713386536,3.85585713386536
2097,4.42889642715454,3.96599793434143,3.96599793434143
2098,5.03931951522827,3.95105528831482,3.95105528831482
2099,5.82677173614502,4.02666621208191,4.02666621208191
2100,4.69065046310425,4.0861629486084,4.0861629486084
1850,0.02658312022686,-0.436937081813812,-0.436937081813812
1851,-0.476119786500931,-0.31273053586483,-0.31273053586483
1852,0.209768861532211,-0.322385787963867,-0.322385787963867
1853,-0.303480982780457,-0.372489565610886,-0.372489565610886
1854,-0.368378818035126,-0.429051792621613,-0.429051792621613
1855,0.560679137706757,-0.324901923537254,-0.324901923537254
1856,0.663100898265839,-0.385244727134705,-0.385244727134705
1857,-0.110709853470325,-0.343786251544952,-0.343786251544952
1858,0.310062080621719,-0.341299691796303,-0.341299691796303
1859,0.126894444227219,-0.402600008249283,-0.402600008249283
1860,0.516080796718597,-0.289807920157909,-0.289807920157909
1861,0.248951613903046,-0.259386664628983,-0.259386664628983
1862,-0.425909847021103,-0.240734487771988,-0.240734487771988
1863,0.759998798370361,-0.351075094938278,-0.351075094938278
1864,0.100296914577484,-0.298178040981293,-0.298178040981293
1865,0.64966231584549,-0.253944854438305,-0.253944854438305
1866,0.421026527881622,-0.356942451000214,-0.356942451000214
1867,-0.292642802000046,-0.351272839307785,-0.351272839307785
1868,0.265414625406265,-0.404856848716736,-0.404856848716736
1869,0.151075929403305,-0.253014016151428,-0.253014016151428
1870,-0.331090807914734,-0.33683497607708,-0.33683497607708
1871,-0.747073531150818,-0.283379742503166,-0.283379742503166
1872,0.0300068166106939,-0.278731769323349,-0.278731769323349
1873,-0.143894612789154,-0.355022531747818,-0.355022531747818
1874,-0.742969036102295,-0.36390643119812,-0.36390643119812
1875,0.187362179160118,-0.343565183877945,-0.343565183877945
1876,0.0543755106627941,-0.346524986624718,-0.346524986624718
1877,0.381359606981277,-0.286398783326149,-0.286398783326149
1878,0.45253974199295,-0.288987079262733,-0.288987079262733
1879,1.04363894462585,-0.306053191423416,-0.306053191423416
1880,0.373774617910385,-0.287521687150002,-0.287521687150002
1881,0.326091349124908,-0.264275908470154,-0.264275908470154
1882,0.077899694442749,-0.234133297950029,-0.234133297950029
1883,0.219418108463287,-0.26849576830864,-0.26849576830864
1884,-0.69840681552887,-0.834349513053894,-0.834349513053894
1885,-0.622992813587189,-0.664001989364624,-0.664001989364624
1886,-0.731824278831482,-0.526287013292313,-0.526287013292313
1887,-0.572377026081085,-0.440707397460938,-0.440707397460938
1888,0.341810464859009,-0.297193643450737,-0.297193643450737
1889,-0.188720390200615,-0.305781869590282,-0.305781869590282
1890,0.323801070451736,-0.46789363026619,-0.46789363026619
1891,-0.711942613124847,-0.49254794716835,-0.49254794716835
1892,-0.545303165912628,-0.418509593605995,-0.418509593605995
1893,-0.0601493865251541,-0.358694949746132,-0.358694949746132
1894,0.144767433404922,-0.303135764598846,-0.303135764598846
1895,0.568186640739441,-0.289555963873863,-0.289555963873863
1896,0.253854185342789,-0.241169402003288,-0.241169402003288
1897,0.292255729436874,-0.239365689456463,-0.239365689456463
1898,0.00535504426807165,-0.176860590279102,-0.176860590279102
1899,0.550427615642548,-0.245832157507539,-0.245832157507539
1900,-0.185276284813881,-0.243154248595238,-0.243154248595238
1901,0.000780752918217331,-0.24512709453702,-0.24512709453702
1902,0.42441862821579,-0.227091288566589,-0.227091288566589
1903,-0.150239303708076,-0.575918662548065,-0.575918662548065
1904,-0.298344671726227,-0.534589838981628,-0.534589838981628
1905,-0.607330024242401,-0.426726853847504,-0.426726853847504
1906,0.0491133891046047,-0.367776745557785,-0.367776745557785
1907,-0.341249942779541,-0.378059381246567,-0.378059381246567
1908,-0.529553592205048,-0.312027531303465,-0.312027531303465
1909,0.212343141436577,-0.27509882748127,-0.27509882748127
1910,0.284223049879074,-0.296547693200409,-0.296547693200409
1911,-0.172813817858696,-0.331300181150436,-0.331300181150436
1912,-0.982593238353729,-0.381681942939758,-0.381681942939758
1913,-0.418928772211075,-0.468835037946701,-0.468835037946701
1914,-0.00429555308073759,-0.338312858343124,-0.338312858343124
1915,-0.0871111899614334,-0.29242459833622,-0.29242459833622
1916,0.311645030975342,-0.248353165388107,-0.248353165388107
1917,-0.452929556369781,-0.197193521261215,-0.197193521261215
1918,0.154897049069405,-0.227393686771393,-0.227393686771393
1919,-0.325374394655228,-0.253436613082886,-0.253436613082886
1920,-0.2394198179245,-0.105952289002016,-0.105952289002016
1921,0.603843808174133,-0.148703049984761,-0.148703049984761
1922,0.10096900165081,-0.152130043040961,-0.152130043040961
1923,0.251294314861298,-0.192081298679113,-0.192081298679113
1924,-0.33328577876091,-0.251180410385132,-0.251180410385132
1925,-0.195537060499191,-0.17673559859395,-0.17673559859395
1926,-0.01171550527215,-0.104485687799752,-0.104485687799752
1927,0.319059580564499,-0.181216710805893,-0.181216710805893
1928,-0.527359008789062,-0.137846557796001,-0.137846557796001
1929,0.061970055103302,-0.223201742768288,-0.223201742768288
1930,-0.402952015399933,-0.226875621080399,-0.226875621080399
1931,0.265470921993256,-0.226100051403046,-0.226100051403046
1932,0.612512409687042,-0.219481990486383,-0.219481990486383
1933,-0.325616747140884,-0.179683587886393,-0.179683587886393
1934,0.430202960968018,-0.0537915608845651,-0.0537915608845651
1935,-0.136030361056328,-0.10998400375247,-0.10998400375247
1936,-0.733415901660919,-0.0709628984332085,-0.0709628984332085
1937,0.208989500999451,-0.0648141726851463,-0.0648141726851463
1938,0.312879592180252,-0.105413296073675,-0.105413296073675
1939,-0.0166775118559599,-0.0284704804420471,-0.0284704804420471
1940,0.69484680891037,-0.0322130307555199,-0.0322130307555199
1941,-0.195623561739922,-0.0385591950267553,-0.0385591950267553
1942,0.12884384393692,-0.0183019947260618,-0.0183019947260618
1943,0.275473147630692,-0.058605420216918,-0.058605420216918
1944,-0.245328828692436,-0.00129221230745316,-0.00129221230745316
1945,0.755804419517517,-0.0588233664631844,-0.0588233664631844
1946,-0.227814912796021,-0.0465999078005552,-0.0465999078005552
1947,0.660408616065979,-0.0222704976797104,-0.0222704976797104
1948,0.225183889269829,-0.017176956217736,-0.017176956217736
1949,-0.566899120807648,-0.0119343104306608,-0.0119343104306608
1950,0.213027223944664,0.00186005942523479,0.00186005942523479
1951,-0.480136930942535,0.0254662006627768,0.0254662006627768
1952,-0.207635685801506,0.023389333114028,0.023389333114028
1953,0.120256684720516,-0.0350286230444908,-0.0350286230444908
1954,-0.000481139548355713,-0.038466215133667,-0.038466215133667
1955,0.0534608438611031,-0.00209568459540606,-0.00209568459540606
1956,0.452350169420242,0.0346916976384819,0.0346916976384819
1957,-0.84225857257843,0.0904702942818403,0.0904702942818403
1958,-0.998596608638763,-0.0148577015846968,-0.0148577015846968
1959,-0.125031784176826,-0.0509200705841067,-0.0509200705841067
1960,-0.10298515856266,0.105532692372799,0.105532692372799
1961,-0.229931756854057,0.00707812160253525,0.00707812160253525
1962,-0.608709216117859,-0.0284195471554995,-0.0284195471554995
1963,0.241966426372528,-0.124707053601742,-0.124707053601742
1964,0.0161174815148115,-0.263422834873199,-0.263422834873199
1965,-0.322727799415588,-0.238056452199817,-0.238056452199817
1966,0.455191105604172,-0.0275241196155548,-0.0275241196155548
1967,-0.330568164587021,-0.125994423776865,-0.125994423776865
1968,0.0453939102590084,0.00264172600582242,0.00264172600582242
1969,0.0617212578654289,-0.13868078738451,-0.13868078738451
1970,-0.145423054695129,-0.135401420108974,-0.135401420108974
1971,0.0654263496398926,-0.071887844055891,-0.071887844055891
1972,0.110519587993622,0.00328063126653433,0.00328063126653433
1973,0.0719557106494904,-0.0693406220525503,-0.0693406220525503
1974,0.453681468963623,-0.0673493420705199,-0.0673493420705199
1975,-0.444987177848816,-0.0645794756710529,-0.0645794756710529
1976,-0.0759839341044426,-0.0794585846364498,-0.0794585846364498
1977,-0.147914111614227,0.0388461830094457,0.0388461830094457
1978,0.477500200271606,0.0376619517803192,0.0376619517803192
1979,0.497663348913193,0.034052762016654,0.034052762016654
1980,0.277181684970856,0.0787490723654628,0.0787490723654628
1981,0.551126182079315,0.162758131511509,0.162758131511509
1982,0.716459929943085,0.0911938766483218,0.0911938766483218
1983,-0.0418225564062595,-0.13205374032259,-0.13205374032259
1984,-0.131728395819664,0.011098163574934,0.011098163574934
1985,-0.281537681818008,0.152975256741047,0.152975256741047
1986,0.243875995278358,0.130905041471124,0.130905041471124
1987,0.403610467910767,0.104505425877869,0.104505425877869
1988,0.235620692372322,0.229949775338173,0.229949775338173
1989,0.218284800648689,0.182648977637291,0.182648977637291
1990,0.542972922325134,0.298530721664429,0.298530721664429
1991,0.618135154247284,0.285112643241882,0.285112643241882
1992,0.164659768342972,-0.0793206598609686,-0.0793206598609686
1993,0.379128009080887,0.078161746263504,0.078161746263504
1994,0.0657603591680527,0.283664837479591,0.283664837479591
1995,0.584705412387848,0.242988413572311,0.242988413572311
1996,0.426063925027847,0.282309786975384,0.282309786975384
1997,0.845858752727509,0.333566001057625,0.333566001057625
1998,0.586471259593964,0.409459719061852,0.409459719061852
1999,0.956824719905853,0.364072078466415,0.364072078466415
2000,1.10874128341675,0.493068486452103,0.493068486452103
2001,0.633583307266235,0.497352945804596,0.497352945804596
